,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Dial-up Internet access - surcharge,"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Internet access (fees may apply)', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Internet access (on request)', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']","['Dial-up Internet access (surcharge)', 'Dial-up Internet access - surcharge']"
Spa,"['Private spa tub', 'Massage - spa treatment room(s)', 'Spa & Wellness Centre', 'Private spa pools', 'Spa (nearby)', 'Spa/Massage/Wellness', 'Spa tub', 'Spa and wellness centre', 'Spa services', 'Spa']","['Private spa tub', 'Spa & Wellness Centre', 'Spa (nearby)', 'Spa/Massage/Wellness', 'Spa tub', 'Spa']","['Spa tub', 'Spa']",['Spa']
Ballroom dancing,"['Dancing', 'Ballroom', 'Ballroom dancing']","['Dancing', 'Ballroom', 'Ballroom dancing']",['Ballroom dancing'],['Ballroom dancing']
Voltage 240v,['Voltage 240v'],['Voltage 240v'],['Voltage 240v'],['Voltage 240v']
Darts,['Darts'],['Darts'],['Darts'],['Darts']
Trident Club Lounge Access,"['Access to Business Club Lounge', 'Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']","['Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']","['Trident Club Lounge Access', 'Club Lounge Access']",['Trident Club Lounge Access']
Indoor Games,"['Games Room', 'Games room', 'Indoor Games']",['Indoor Games'],['Indoor Games'],['Indoor Games']
Toiletries In The Bathroom,"['Attached bathroom in all the rooms', 'Toiletries in the Bathroom', 'Separate bathtub and shower', 'Extra towels/bedding in room', 'Geyser in the Bathroom', 'Shared bathroom with sink in room', 'Bathroom Toiletries', 'Toiletries In The Bathroom']","['Toiletries in the Bathroom', 'Bathroom Toiletries', 'Toiletries In The Bathroom']","['Toiletries in the Bathroom', 'Toiletries In The Bathroom']","['Toiletries in the Bathroom', 'Toiletries In The Bathroom']"
Tours organised,['Tours organised'],['Tours organised'],['Tours organised'],['Tours organised']
Very small sized lobby,['Very small sized lobby'],['Very small sized lobby'],['Very small sized lobby'],['Very small sized lobby']
Marina on site,"['Marina on site', 'Shopping on site']",['Marina on site'],['Marina on site'],['Marina on site']
Aquarium,['Aquarium'],['Aquarium'],['Aquarium'],['Aquarium']
Limousine service available,"['Limousine Service', 'Limousine service (price advised by hotel)', 'Taxi service', 'Limo or Town Car service available', 'Limousine service available']","['Limousine Service', 'Limo or Town Car service available', 'Limousine service available']","['Limousine Service', 'Limousine service available']",['Limousine service available']
Chess,['Chess'],['Chess'],['Chess'],['Chess']
Tours/ticket assistance,"['Tours/ticket assistance', 'Tour assistance']","['Tours/ticket assistance', 'Tour assistance']",['Tours/ticket assistance'],['Tours/ticket assistance']
"Car parking (Payable to hotel, if applicable)","['Airport Transfer Available With Charges Rs.200/- Per Trip', 'Parking Facility At Hotel', 'Car parking (Payable to hotel, if applicable)', 'Airport transfer (price advised by hotel)']","['Car parking (Payable to hotel, if applicable)']","['Car parking (Payable to hotel, if applicable)']","['Car parking (Payable to hotel, if applicable)']"
Parking (free),"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free RV, bus, truck parking', 'Parking', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free guest parking during stay', 'Free Parking', 'Parking (free)', 'Free self parking']","['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']","['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free garage parking', 'Free valet parking', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']","['Parking(free)', 'Free Parking', 'Parking (free)']"
Double Bed,"['Sofa bed', 'Double Bed', 'Sofa bed size']",['Double Bed'],['Double Bed'],['Double Bed']
Theme park shuttle (complimentary),"['Theme park nearby', 'Theme park shuttle (surcharge)', 'Area shuttle (complimentary)', 'Water park access (complimentary)', 'Shopping center shuttle (complimentary)', 'Theme park shuttle (complimentary)']","['Theme park shuttle (surcharge)', 'Area shuttle (complimentary)', 'Theme park shuttle (complimentary)']","['Theme park shuttle (surcharge)', 'Theme park shuttle (complimentary)']",['Theme park shuttle (complimentary)']
Aerobics,"['Aqua aerobics', 'Aerobics classes', 'Aerobics']","['Aqua aerobics', 'Aerobics']",['Aerobics'],['Aerobics']
Football Field,"['Football Field (nearby)', 'Football Field']","['Football Field (nearby)', 'Football Field']","['Football Field (nearby)', 'Football Field']",['Football Field']
Karate,['Karate'],['Karate'],['Karate'],['Karate']
Mt,['Mt'],['Mt'],['Mt'],['Mt']
Front desk (limited hours),"['Safe-deposit box at front desk', '24 hours front desk', '24-Hour Front Desk', 'Front desk', 'Room service (limited hours)', 'Front desk (limited hours)', 'Room service(limited hours)']","['24 hours front desk', '24-Hour Front Desk', 'Front desk', 'Room service (limited hours)', 'Front desk (limited hours)', 'Room service(limited hours)']","['24 hours front desk', '24-Hour Front Desk', 'Front desk (limited hours)']",['Front desk (limited hours)']
Balcony / Sit Out,"['Balcony/sit Out', 'Balcony or patio', 'Balcony / Sit Out']","['Balcony/sit Out', 'Balcony / Sit Out']","['Balcony/sit Out', 'Balcony / Sit Out']","['Balcony/sit Out', 'Balcony / Sit Out']"
Vending machine (drinks),"['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (drinks)', 'Vending Machine (drinks)']"
Separate dining area,"['Separate living room', 'Separate Dinning area', 'Dinning Area', 'Separate sitting area', 'Separate dining room', 'Separate Lounge', 'Separate dining area']","['Separate Dinning area', 'Dinning Area', 'Separate sitting area', 'Separate dining room', 'Separate dining area']","['Separate Dinning area', 'Separate dining room', 'Separate dining area']","['Separate Dinning area', 'Separate dining area']"
Parasailing,['Parasailing'],['Parasailing'],['Parasailing'],['Parasailing']
Arcade/game room,"['Video Game Arcade', 'Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']","['Video Game Arcade', 'Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']","['Games Room', 'Games room', 'Arcade/game room', 'Game Room']",['Arcade/game room']
Grocery delivery,"['Grocery', 'Grocery delivery']",['Grocery delivery'],['Grocery delivery'],['Grocery delivery']
Fortune teller,['Fortune teller'],['Fortune teller'],['Fortune teller'],['Fortune teller']
Jacuzzi Bathtub,"['Jacuzzi', 'bathtub', 'Bath Tub', 'Bathtub or shower', 'Bathtub', 'Shower/tub combination', 'Jetted bathtub', 'Spa tub', 'Jacuzzi Bathtub']","['Jacuzzi', 'bathtub', 'Bathtub', 'Jetted bathtub', 'Jacuzzi Bathtub']","['Jacuzzi', 'bathtub', 'Bathtub', 'Jacuzzi Bathtub']",['Jacuzzi Bathtub']
Free Wi-Fi Icon,"['Wi-Fi Internet access', 'Free Wi-Fi Internet Access Included', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Free Wi-Fi Icon', 'Internet/Wi-Fi', 'Free Wi Fi*']","['Free Wi-Fi', 'Free Wi-Fi Icon', 'Free Wi Fi*']","['Free Wi-Fi', 'Free Wi-Fi Icon', 'Free Wi Fi*']",['Free Wi-Fi Icon']
Babysitting/Child Services,"['Babysitting or childcare (free)', 'Babysitting or child care', 'Babysitting or childcare', 'Babysitting Service', 'Babysitting/Child Services']","['Babysitting or child care', 'Babysitting or childcare', 'Babysitting Service', 'Babysitting/Child Services']","['Babysitting or child care', 'Babysitting/Child Services']",['Babysitting/Child Services']
window opens,"['Window opens', 'window opens']","['Window opens', 'window opens']","['Window opens', 'window opens']","['Window opens', 'window opens']"
Bodyguards (on request),['Bodyguards (on request)'],['Bodyguards (on request)'],['Bodyguards (on request)'],['Bodyguards (on request)']
Orthopedic mattress with high quality pillows and bed linen,['Orthopedic mattress with high quality pillows and bed linen'],['Orthopedic mattress with high quality pillows and bed linen'],['Orthopedic mattress with high quality pillows and bed linen'],['Orthopedic mattress with high quality pillows and bed linen']
Beach sun loungers,"['Sun Beds (pool)', 'Sun Terrace', 'Beach umbrellas', 'Beach/pool umbrellas', 'Sun terrace', 'Beach sun loungers']","['Beach umbrellas', 'Beach/pool umbrellas', 'Beach sun loungers']",['Beach sun loungers'],['Beach sun loungers']
Taxi Services,"['Taxi service', 'Taxi Services']","['Taxi service', 'Taxi Services']","['Taxi service', 'Taxi Services']",['Taxi Services']
Patisserie,['Patisserie'],['Patisserie'],['Patisserie'],['Patisserie']
Art classes,['Art classes'],['Art classes'],['Art classes'],['Art classes']
Express check-out,"['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']","['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']","['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']","['Express Check-In/Check-Out', 'Express check in/out', 'Express check-out']"
City or Park View,"['City or Rock Heights Park View', 'City view', 'City or Park View']","['City or Rock Heights Park View', 'City view', 'City or Park View']","['City or Rock Heights Park View', 'City or Park View']",['City or Park View']
Area shuttle (surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Shuttle Service (surcharge)', 'Parking (surcharge)', 'Theme park shuttle (surcharge)', 'Area shuttle (complimentary)', 'Parking(surcharge)', 'Cruise terminal shuttle (surcharge)', 'Covered parking (surcharge)', 'Shopping center shuttle (surcharge)', 'Airport transportation (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Area shuttle', 'Airport transportation - drop-off (surcharge)', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)', 'Parking limited (surcharge)']","['Airport shuttle(surcharge)', 'Shuttle Service (surcharge)', 'Area shuttle (complimentary)', 'Shopping center shuttle (surcharge)', 'Parking nearby (surcharge)', 'Area shuttle', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)']",['Area shuttle (surcharge)'],['Area shuttle (surcharge)']
Wired (high-speed) Internet access - surcharge,"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Wired Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'High-speed broadband and wireless Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'Wired (high-speed) Internet access - surcharge']"
Outdoor parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Long-term parking (surcharge)', 'Garage parking (surcharge)', 'Parking', 'Free outdoor parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Water park access (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Secure parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Parking (surcharge)', 'Parking(surcharge)', 'Secure outdoor parking (surcharge)', 'Outdoor parking (surcharge)']",['Outdoor parking (surcharge)']
Health or fitness facilities,"['Health centre', 'Full-service health spa', 'Fitness Center', 'Gymnasium/Health Club', 'Health and fitness centre', 'Medical facilities', 'Health Club', '24-hour fitness facilities', 'Health or fitness facilities', 'Use of nearby fitness center (discount)', 'Fitness facilities', 'Use of nearby fitness center (complimentary)']","['Health and fitness centre', 'Health or fitness facilities', 'Fitness facilities']","['Health and fitness centre', 'Health or fitness facilities', 'Fitness facilities']",['Health or fitness facilities']
Billiards or pool table,"['Pool / Snooker Table', 'Table tennis', 'Billiards/pool table', 'Pool Bar', 'Table Tennis', 'Pool Table', 'Pool table', 'Billiards or pool table']","['Pool / Snooker Table', 'Billiards/pool table', 'Pool Table', 'Pool table', 'Billiards or pool table']","['Pool / Snooker Table', 'Billiards/pool table', 'Pool Table', 'Pool table', 'Billiards or pool table']","['Billiards/pool table', 'Billiards or pool table']"
TVIntercom Facility,"['Parking Facility', 'Test Facility', 'TVIntercom Facility']",['TVIntercom Facility'],['TVIntercom Facility'],['TVIntercom Facility']
Super Deluxe Ac Room,"['Non Ac Room', 'Super Deluxe Ac Room']",['Super Deluxe Ac Room'],['Super Deluxe Ac Room'],['Super Deluxe Ac Room']
Banquet facilities,"['Conference & Banquet Facilities', 'Conference Facilities', 'Meeting facilities', 'Meeting/Banquet Facilities', 'Banquet facilities']","['Conference & Banquet Facilities', 'Meeting/Banquet Facilities', 'Banquet facilities']","['Conference & Banquet Facilities', 'Meeting/Banquet Facilities', 'Banquet facilities']",['Banquet facilities']
Flat-panel TV,"['Flat screen color television with multi-channel cable', ""32'' LCD Flat-screen TV"", 'LCD television with multi channel cable', 'Flat-panel TV', 'LCD TV with Set', ""40'' LCD Flat screen TV""]","[""32'' LCD Flat-screen TV"", 'Flat-panel TV', ""40'' LCD Flat screen TV""]",['Flat-panel TV'],['Flat-panel TV']
Vending Machine (drinks),"['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (drinks)', 'Vending Machine (drinks)']"
Non-smoking rooms and areas,"['Non-smoking rooms', 'Attached bathroom in all the rooms', 'Smoking rooms', 'Designated Smoking Area', 'Designated smoking area', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Designated smoking areas', 'Non-smoking only', 'In-room safe (some rooms)', 'Non-smoking rooms and areas', 'No smoking rooms', 'All Public and Private spaces non-smoking']","['Non-smoking rooms', 'Smoking rooms', 'Non-smoking throughout', 'Non-Smoking Rooms', 'Non-smoking rooms and areas', 'No smoking rooms', 'All Public and Private spaces non-smoking']","['Non-smoking rooms', 'Non-Smoking Rooms', 'Non-smoking rooms and areas']",['Non-smoking rooms and areas']
Snooker Table,"['Pool / Snooker Table', 'Table tennis', 'Snooker room', 'Billiards/pool table', 'Table Tennis', 'Snooker Table']","['Pool / Snooker Table', 'Snooker Table']","['Pool / Snooker Table', 'Snooker Table']",['Snooker Table']
Gaming machines,['Gaming machines'],['Gaming machines'],['Gaming machines'],['Gaming machines']
WiFi,"['Free WiFi Internet Connectivity', 'Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Wifi Enabled', 'Chargeable WiFi Internet Connectivity', 'Wifi EnabledFireplace', 'WiFi', 'WiFi Internet']","['Internet / Wifi', 'Wifi Enabled', 'Wifi EnabledFireplace', 'WiFi', 'WiFi Internet']","['Wifi EnabledFireplace', 'WiFi']","['Wifi EnabledFireplace', 'WiFi']"
Handicraft shop,['Handicraft shop'],['Handicraft shop'],['Handicraft shop'],['Handicraft shop']
Wireless Internet access (surcharge),"['Wired high-speed Internet access (surcharge)', 'Free WiFi Internet Connectivity', 'Dial-up Internet access - complimentary', 'Internet / Wifi', 'Dial-up Internet access (complimentary)', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Dial-up Internet access (surcharge)', 'Broadband Internet Connection', 'Wired Internet', 'Chargeable WiFi Internet Connectivity', 'Free WiFi Internet', 'Internet access (on request)', 'Broadband Internet', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge', 'WiFi Internet']","['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access (surcharge)', 'Chargeable WiFi Internet Connectivity', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access (surcharge)', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']","['Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']"
Fax/photocopying,"['Photocopying', 'Fax/Photocopying', 'Fax/photocopying']","['Photocopying', 'Fax/Photocopying', 'Fax/photocopying']","['Fax/Photocopying', 'Fax/photocopying']","['Fax/Photocopying', 'Fax/photocopying']"
Event catering,"['Catering', 'Event catering']",['Event catering'],['Event catering'],['Event catering']
Fitness centre (men only),"['Fitness centre (nearby)', 'Sauna (Men only)', 'Health and fitness centre', 'Fitness Centre', 'Fitness centre', 'Fitness centre (men only)']","['Health and fitness centre', 'Fitness centre (men only)']",['Fitness centre (men only)'],['Fitness centre (men only)']
AC / Heater,"['AC/Heater', 'ac', 'AC / Heater']","['AC/Heater', 'AC / Heater']","['AC/Heater', 'AC / Heater']","['AC/Heater', 'AC / Heater']"
Internet access-surcharge,"['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access - complimentary', 'Secure parking (surcharge)', 'Internet access (fees may apply)', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access (on request)', 'Internet access-dial-up', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access (surcharge)', 'Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Dial-up Internet access (surcharge)', 'Dial-up Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']","['Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Wireless Internet access - surcharge']"
Dressing Room,"['Living Room and Bed Room', 'TVLiving Room', 'Dressing Room']",['Dressing Room'],['Dressing Room'],['Dressing Room']
Opaque curtains to provide total blackout,['Opaque curtains to provide total blackout'],['Opaque curtains to provide total blackout'],['Opaque curtains to provide total blackout'],['Opaque curtains to provide total blackout']
Outdoor Activities,"['Outdoor activities', 'Outdoor Activities', 'Outdoor pool (seasonal)']","['Outdoor activities', 'Outdoor Activities']","['Outdoor activities', 'Outdoor Activities']","['Outdoor activities', 'Outdoor Activities']"
Game Room,"['Table games', 'Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']","['Games Room', 'Games room', 'Arcade/game room', 'Game Room', 'Video games room']","['Games Room', 'Games room', 'Arcade/game room', 'Game Room']","['Games Room', 'Games room', 'Game Room']"
In-room safe,"['Living Room', 'In-room safe (laptop compatible)', 'Attached bathroom in all the rooms', 'Breakfast in the Room', 'Living Room and Bed Room', 'Breakfast in the room', 'In-room massage available', 'In room safe', 'Separate living room', 'Sofa in the room', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'TVLiving Room', 'Shared bathroom with sink in room', '250 room space for double room, with Wify,', 'In-room safe']","['Attached bathroom in all the rooms', 'Breakfast in the Room', 'Breakfast in the room', 'In room safe', 'Sofa in the room', 'In-room safe (some rooms)', 'Safe at Reception / Room', 'In-room safe']","['In room safe', 'In-room safe (some rooms)', 'In-room safe']","['In room safe', 'In-room safe (some rooms)', 'In-room safe']"
Airport Shuttle (surcharge),"['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Shuttle Service (surcharge)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Shuttle', 'Airport transportation', 'Theme park shuttle (surcharge)', 'Airport Shuttle (free)', 'Cruise terminal shuttle (surcharge)', 'Ferry terminal shuttle (complimentary)', 'Shopping center shuttle (surcharge)', 'Airport transportation (surcharge)', 'Airport Shuttle', 'Airport transportation - drop-off (surcharge)', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)', 'Airport transfer (complimentary)']","['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Shuttle Service (surcharge)', 'Airport transportation (complimentary)', 'Airport Shuttle (free)', 'Cruise terminal shuttle (surcharge)', 'Airport transportation (surcharge)', 'Airport Shuttle', 'Airport transportation - drop-off (surcharge)', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)']","['Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation (surcharge)', 'Airport Shuttle', 'Airport Shuttle (surcharge)']","['Airport shuttle(surcharge)', 'Airport Shuttle (surcharge)']"
Skating rink,"['Ice skating', 'Skating rink']","['Ice skating', 'Skating rink']",['Skating rink'],['Skating rink']
Cold plunge pool,"['Plunge pool', 'Private plunge pool', 'Plunge Pool', 'Cold plunge pool']","['Plunge pool', 'Plunge Pool', 'Cold plunge pool']","['Plunge pool', 'Plunge Pool', 'Cold plunge pool']",['Cold plunge pool']
Trouser press,"['Trouser Press', 'Trouser press']","['Trouser Press', 'Trouser press']","['Trouser Press', 'Trouser press']","['Trouser Press', 'Trouser press']"
Safe Deposit Locker,"['Safety Deposit Lockers', 'Safe Deposit Locker']","['Safety Deposit Lockers', 'Safe Deposit Locker']",['Safe Deposit Locker'],['Safe Deposit Locker']
LCD TV with Set,"[""32'' LCD Flat-screen TV"", 'LCD TV', ""22'' LCD TV"", 'LCD television with multi channel cable', 'Flat-panel TV', 'LCD TV with Set', ""40'' LCD Flat screen TV""]","[""32'' LCD Flat-screen TV"", 'LCD TV', 'LCD television with multi channel cable', 'LCD TV with Set', ""40'' LCD Flat screen TV""]",['LCD TV with Set'],['LCD TV with Set']
Indoor pool (all year),"['Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Kids Pool', '1 indoor pool (heated)', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']","['Outdoor Swimming Pool (all year)', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - indoor', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)']","['Outdoor Swimming Pool (all year)', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)']","['Outdoor Swimming Pool (all year)', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)']"
Outdoor tennis court,"['Tennis Courts', 'Tennis', 'Tennis Court', 'Badminton Court', 'Outdoor tennis court', 'Volleyball Court']","['Tennis Courts', 'Tennis Court', 'Outdoor tennis court', 'Volleyball Court']","['Tennis Court', 'Outdoor tennis court']",['Outdoor tennis court']
No smoking rooms,"['Non-smoking rooms', 'Smoking rooms', 'Non-Smoking Rooms', 'In-room safe (some rooms)', 'Non-smoking rooms and areas', 'No smoking rooms']","['Non-smoking rooms', 'Smoking rooms', 'Non-Smoking Rooms', 'Non-smoking rooms and areas', 'No smoking rooms']","['Non-smoking rooms', 'Smoking rooms', 'Non-Smoking Rooms', 'No smoking rooms']",['No smoking rooms']
Recreation,['Recreation'],['Recreation'],['Recreation'],['Recreation']
Supervised childcare/activities (surcharge),"['Babysitting or childcare (surcharge)', 'Supervised childcare/activities (free)', 'Supervised childcare/activities', 'Childcare facilities', 'Supervised childcare/activities (surcharge)']","['Supervised childcare/activities (free)', 'Supervised childcare/activities', 'Supervised childcare/activities (surcharge)']","['Supervised childcare/activities', 'Supervised childcare/activities (surcharge)']",['Supervised childcare/activities (surcharge)']
Children's Play Area,"[""Children's pool"", ""Children's club (free)"", ""Children's Playground"", ""Children's play area"", ""Children's entertainment"", ""Children's activities"", ""Children's club"", 'Kids Play Area', ""1 children's pool"", ""Children's Play Area""]","[""Children's pool"", ""Children's play area"", ""Children's club"", 'Kids Play Area', ""Children's Play Area""]","[""Children's play area"", 'Kids Play Area', ""Children's Play Area""]","[""Children's play area"", ""Children's Play Area""]"
